gene_name,tm1,tm2,tm3,tm4,tm5,tm6,tm7,tm8,tm9,tm10,tw1,tw2,tw3,tw4,tw5,tw6,tw7,tw8,tw9,tw10
IGSF8,156.36,81.9932,157.162,206.7173,111.541,90.6795,85.8051,42.1298,93.7177,118.2221,102.4337,75.7928,146.6446,101.4058,97.8083,71.3442,15.5126,78.7983,100.7401,28.7544
PEA15,336.2447,165.8298,72.8095,312.475,178.5973,194.6507,377.0007,416.0832,144.696,131.6875,146.2671,228.8144,179.9527,353.3561,547.9007,124.1271,22.5142,119.7998,314.055,147.7054
NCSTN,196.6128,168.778,135.0068,207.7679,114.4208,131.637,216.6027,134.7252,121.9066,105.7671,236.2753,123.7774,111.0344,122.6694,268.0742,124.9854,19.1214,90.4421,187.2261,53.9298
VANGL2,32.8482,65.544,3.3402,68.9431,15.1259,19.7258,56.7603,12.0908,27.4225,2.1221,62.87,52.2516,13.1783,43.4978,22.4409,12.2264,1.3082,28.6952,26.9401,1.1554
SLAMF6,5.8738,8.6431,2.3167,0.5865,5.9197,23.368,1.8403,34.7209,1.1691,8.3562,0.7289,19.1249,3.4553,47.3902,57.4569,6.3427,0.0756,0.0486,3.0977,6.2145
OLFML2B,26.1091,24.0539,6.7685,25.7387,23.788,27.1508,96.0171,157.8648,2.0473,8.2196,25.763,12.3208,33.434,76.8731,67.5799,18.7576,0.7824,9.724,46.5415,15.5409
FCRLB,4.9909,6.1242,0.3273,0.9559,2.366,3.7654,0.9748,0.8245,1.2386,0.1719,1.6115,0.8654,0.5896,1.1433,1.2904,2.7058,0.2102,1.3892,1.5396,0.3127
C1orf74,4.4224,8.2915,2.2184,5.1972,1.3003,2.8456,5.5405,3.6795,2.1475,4.1854,9.8654,2.5099,3.4124,3.5897,6.8506,2.4706,0.4984,4.7548,2.2868,0.8744
LMX1A,0.0783,0.2946,0.0,0.0,0.0502,0.0,0.2641,0.0988,0.0682,0.0,0.0,0.0185,0.0304,0.1078,0.0125,0.0,0.0,0.0797,0.0753,0.0306
FLVCR1,7.0248,21.5024,23.3786,9.2404,3.5058,4.6954,18.5988,15.147,10.0646,16.0874,10.8677,10.743,11.9387,5.5675,14.3796,4.8963,0.4524,19.7075,5.8623,3.0426
DENND2D,70.1407,14.98,28.7106,23.4619,13.3618,26.9985,40.7991,30.82,17.0419,21.8124,13.3982,22.2755,27.8675,35.979,107.5906,22.9339,9.2622,14.8802,24.1972,33.762
TDRD5,10.8701,1.3565,12.7719,0.4392,0.5648,1.4959,11.1459,2.6463,2.3897,0.5855,12.0428,3.2905,0.4048,6.1745,3.7183,0.2858,0.4503,3.0162,0.6932,0.0209
SNED1,4.6712,1.8411,1.5404,17.9839,4.5556,8.6061,12.6914,15.6427,6.787,0.6452,3.5598,3.3823,3.2919,9.6037,2.5086,8.6239,0.6179,0.2366,10.1502,3.8178
SPATA17,3.6822,0.686,2.2459,0.6751,0.4513,2.4931,3.1835,0.4973,1.8506,1.1284,0.8949,0.8548,0.6549,0.7713,2.952,0.5562,0.004,2.4052,0.9994,7.511
C1orf115,158.5405,31.0791,6.6994,97.6183,184.1003,81.3514,17.644,35.1733,17.5206,2.7934,67.7584,75.1775,36.0138,40.1554,6.1462,23.613,3.5354,27.0093,149.3486,18.1216
ACP6,6.9703,5.2944,9.0118,10.8516,8.9731,5.5388,5.6095,4.5584,16.6262,13.2956,5.4276,5.256,5.3097,4.8829,3.7476,11.5889,1.3173,11.7539,11.6722,2.9241
WDR64,0.2818,0.0312,0.1861,0.0878,0.068,0.1475,0.3197,0.0837,0.0289,0.0451,0.1762,0.047,0.0129,0.1304,0.1058,0.071,0.0053,0.027,0.085,0.0086
KIF26B,3.0979,16.6806,3.7394,6.2227,2.1784,3.3323,18.8065,12.31,1.5156,5.8927,1.0935,1.5572,3.0681,6.9145,18.1775,2.5482,0.3548,1.287,6.8022,0.2458
KLHDC8A,1.139,0.7147,0.0964,118.1252,12.3629,4.1524,0.6462,10.9446,0.6227,0.4254,7.0264,0.6118,1.1985,5.4125,0.5845,14.3166,0.092,2.5465,11.4296,0.6051
PM20D1,0.0314,0.1771,0.0,0.0949,0.177,1.5622,0.7258,1.1089,0.082,0.0853,0.1,0.6813,0.0244,1.4804,0.6205,0.1791,0.1192,0.0,0.4826,0.817
PKDCC,3.7663,27.1761,7.7858,4.1792,1.2452,4.2626,3.8206,48.8022,4.2115,31.8539,1.8236,31.1315,97.5941,12.1338,30.8519,9.6191,38.9945,3.306,3.9853,25.4471
HAAO,4.9558,3.166,2.3597,9.4756,6.5487,6.7065,3.4759,12.923,2.6956,1.5323,4.5012,7.7742,24.1543,12.7143,8.9147,4.5453,0.866,7.0938,9.9968,2.7388
B3GALNT2,7.3361,15.0983,7.1724,6.3818,2.9545,6.7174,7.4104,9.4164,6.9752,8.3008,9.7953,6.3055,7.5147,5.3837,11.5464,5.1743,0.5451,12.0856,5.4351,3.254
IL20,0.3658,0.0,0.0,0.1186,0.0268,0.0465,0.3695,0.176,0.0455,0.1422,0.0555,0.4442,0.0813,0.0822,0.0334,0.0,0.0828,0.0426,0.0,0.6534
PIGR,2.0225,0.141,9.3612,0.1275,11.0198,6.1141,11.4504,282.1291,678.5066,30.6244,7.5638,240.3306,1275.2788,30.0746,684.7267,53.9278,2.3852,12.9794,1.7294,105.8464
CAPN2,175.7015,80.6395,114.3081,172.6048,108.7948,96.6252,169.2349,160.5648,442.7963,132.2138,79.1674,145.1572,89.8485,165.1722,179.289,161.866,13.7516,77.9594,146.1211,132.9819
REL,9.759,4.5982,1.5616,4.5898,1.9038,4.1306,13.2801,8.0339,5.4486,1.7547,5.3977,3.0064,2.3931,6.5684,3.055,4.4105,0.1516,0.4151,2.324,4.6543
PUS10,7.1164,4.2704,1.3581,10.104,5.2924,7.7586,9.2195,5.0189,7.6647,5.5032,3.4009,4.4076,4.2864,7.2161,5.6763,7.2571,0.2645,2.6582,5.3598,1.7788
KIAA1841,4.9789,6.9807,6.5362,2.7592,2.5175,1.923,11.441,5.8312,4.4008,6.2162,3.8437,7.6067,5.1791,6.6422,2.8184,1.8575,0.211,9.9538,3.239,1.5481
RFTN2,2.4381,1.4942,0.7587,2.0912,1.0326,1.8411,3.9827,10.9807,0.6052,0.7618,0.6629,1.6337,1.1135,3.4018,1.9363,0.9916,0.5839,0.3463,1.7818,3.2573
CAPN13,60.63,0.1484,7.7617,0.0,0.0,0.0281,40.9991,30.6649,78.8723,0.7188,4.0402,115.607,6.3177,1.1169,1.0068,41.1185,2.4037,1.9782,0.0202,23.1846
DPY30,55.8257,47.9599,56.0041,52.2826,54.0273,46.9892,73.8708,43.1853,55.6067,47.7849,28.1349,59.832,48.4665,44.9657,30.6088,45.5989,5.55,138.1591,47.3432,26.302
KCNJ3,106.9374,0.0,0.0,0.0252,0.0257,0.0594,3.1861,9.5816,0.0145,0.454,0.0177,0.0,3.5947,0.0394,0.032,0.0953,0.6661,0.0,0.0428,22.9527
NEUROD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.9263,0.0,0.112,0.0,0.0259,0.0427,0.0,0.0,0.0,0.0,0.4694,0.0,0.0
FRZB,27.7887,6.7795,4.2085,6.1074,13.4916,26.4054,88.6726,125.9842,1.8667,5.1956,156.1601,21.6459,25.2351,21.865,8.6408,8.1563,0.9739,0.531,19.6529,25.1898
NUP35,14.402,8.0026,9.097,6.8022,5.9902,8.7584,16.7273,14.7813,8.171,22.0149,18.2262,12.4136,11.7866,9.1872,10.2834,13.4172,1.0312,12.392,8.636,8.7763
CCDC138,2.2885,9.1204,4.1953,0.5664,0.732,1.8724,4.8499,2.4383,1.477,4.9103,7.2369,6.0717,4.2958,4.057,3.3723,2.6016,0.0537,9.4569,1.069,0.5447
ZSWIM2,0.0593,0.0,0.0,0.0,0.0,0.0264,0.0,0.0999,0.0,0.0,0.0,0.0,0.0,0.0233,0.0,0.0,0.0,0.0483,0.0,0.0
FBXO41,11.7764,8.4919,2.0702,7.0415,4.3057,4.7183,9.3418,12.123,16.308,8.9368,5.3242,6.0182,11.3008,12.1841,8.0227,13.3024,0.2189,14.2168,3.649,1.1436
ACTG2,23.9332,4.2057,4.2475,2.9907,3.1853,4.1855,12.4868,12.3371,3.875,15.2718,339.4616,3.7546,175.7827,108.1202,0.9051,7.5761,0.6671,8.0837,6.9578,14.2059
VSNL1,2.7436,63.3544,1.9024,2.566,0.2882,0.7495,5.7363,5.075,0.8094,6.8479,19.0808,24.285,29.7899,2.6347,0.4688,1.2954,0.0,16.4328,0.8174,0.045
